OrderID,CustomerID,OrderDate,TotalAmount
1,6133,2024-01-20,0.0
2,5626,2023-01-17,4624.33
3,275,2024-05-09,3903.12
4,2697,2023-07-01,9156.33
5,6932,2024-06-05,6544.24
6,9799,2024-01-26,2560.79
7,106,2024-08-05,1744.64
8,1435,2024-11-16,16842.47
9,1956,2023-02-01,10892.17
10,2288,2023-01-20,11163.02
11,8158,2024-02-10,23655.28
12,980,2023-01-27,14562.78
13,301,2023-10-08,9546.67
14,2410,2023-05-03,3322.94
15,5154,2024-10-06,0.0
16,273,2024-07-17,9444.75
17,9380,2023-08-26,16239.49
18,2874,2024-11-04,3173.97
19,4933,2023-05-27,4298.28
20,8196,2024-07-11,1407.72
21,8667,2023-03-04,2347.28
22,6259,2023-04-22,929.7
23,3324,2024-04-21,9599.47
24,8994,2023-12-16,10084.31
25,3978,2023-02-22,1696.39
26,2101,2024-10-18,4146.73
27,810,2024-09-06,3578.86
28,778,2024-07-14,6156.52
29,8469,2024-08-03,3280.22
30,3185,2024-04-12,2463.88
31,7956,2024-01-07,2794.72
32,4250,2023-01-01,8327.57
33,5047,2024-02-29,11181.46
34,2404,2024-09-01,9005.87
35,4045,2024-02-08,4832.4
36,5192,2023-02-19,8464.12
37,4358,2024-04-15,4078.23
38,4795,2023-09-21,7478.68
39,134,2023-08-31,14669.44
40,6393,2023-07-29,4412.71
41,9518,2024-02-15,593.14
42,6900,2024-04-01,2739.72
43,5240,2024-05-08,3525.65
44,3377,2024-07-01,14708.13
45,2836,2024-06-17,1756.23
46,7142,2023-11-29,13826.27
47,9284,2024-11-17,14321.17
48,4348,2024-07-29,4855.15
49,3770,2023-07-09,14010.1
50,5030,2024-04-08,0.0
51,8620,2023-10-10,21318.21
52,8957,2023-09-25,25320.53
53,7230,2023-04-24,12232.73
54,8902,2023-09-08,5622.59
55,9143,2023-06-12,10927.11
56,3977,2024-01-29,3218.72
57,1017,2023-12-01,1665.82
58,7565,2023-05-08,391.77
59,3195,2023-12-02,6854.55
60,2964,2023-03-17,2521.8
61,4481,2023-11-18,10824.76
62,9298,2023-05-04,7946.97
63,1482,2023-11-29,188.54
64,8206,2023-07-16,6523.31
65,4364,2023-02-28,8439.27
66,3955,2023-06-11,6492.28
67,5111,2023-07-21,10056.85
68,8644,2022-12-30,3538.6
69,7990,2024-11-29,0.0
70,3758,2023-02-27,4552.27
71,7255,2024-04-26,16017.87
72,3743,2024-01-27,8813.88
73,5586,2023-03-31,11779.17
74,3686,2023-06-02,3248.98
75,7711,2024-09-08,12985.12
76,197,2023-09-10,4480.78
77,8778,2023-03-08,8483.72
78,9358,2023-12-31,7170.14
79,1853,2023-08-11,12820.08
80,8676,2024-03-10,17171.24
81,9030,2024-04-19,20435.76
82,9520,2023-01-09,11759.64
83,9084,2024-10-31,285.16
84,2464,2024-05-02,6862.36
85,3713,2024-03-17,19818.58
86,4971,2023-07-10,6047.08
87,4987,2023-01-09,3410.48
88,5419,2023-01-18,9208.59
89,3086,2023-11-24,3711.92
90,2346,2023-12-03,11905.53
91,7051,2022-12-23,2052.33
92,514,2024-10-29,6502.44
93,9987,2023-01-11,2745.81
94,3383,2024-09-21,5432.92
95,9892,2024-03-12,2524.73
96,3565,2024-02-27,8887.47
97,9655,2024-02-27,5324.15
98,5431,2024-08-22,5511.0
99,5042,2023-07-23,10941.99
100,7245,2024-06-27,6456.44
101,1204,2024-09-22,0.0
102,4984,2023-10-14,11182.43
103,374,2024-02-17,881.1
104,6582,2024-12-07,911.0
105,1658,2024-01-19,0.0
106,6141,2024-03-25,2675.97
107,4285,2023-05-03,2818.44
108,3240,2023-02-16,7158.18
109,3675,2023-12-28,0.0
110,9180,2023-05-21,3108.78
111,7540,2024-10-15,3417.78
112,3351,2024-12-20,5045.02
113,842,2023-11-20,18232.3
114,4967,2024-12-05,16807.53
115,6182,2024-01-31,787.38
116,8294,2024-08-11,1927.46
117,3225,2023-05-21,2514.99
118,3156,2023-02-16,2799.06
119,2333,2024-02-27,820.15
120,347,2023-10-02,6775.55
121,9890,2024-09-17,11818.48
122,4640,2024-03-24,3354.58
123,4451,2024-02-08,0.0
124,5738,2024-05-27,787.38
125,8230,2023-10-28,2775.86
126,6039,2024-05-16,20992.22
127,1272,2023-11-01,14156.94
128,855,2024-06-30,10954.95
129,3979,2024-09-19,4729.91
130,4915,2024-05-12,16539.3
131,1382,2022-12-30,5378.24
132,5117,2024-11-16,0.0
133,3596,2023-03-24,5215.45
134,1922,2023-12-16,7118.28
135,8847,2023-01-07,2244.43
136,2089,2024-10-22,1927.88
137,1303,2024-05-16,4422.25
138,5924,2024-04-18,7375.29
139,5033,2024-09-12,9974.16
140,7362,2024-09-04,11780.54
141,5794,2024-03-09,11309.43
142,4698,2024-05-02,10212.73
143,738,2023-11-20,3090.75
144,7975,2023-02-21,9157.33
145,8574,2023-03-26,0.0
146,7839,2023-05-17,6162.8
147,3828,2024-05-17,146.22
148,1035,2023-01-05,17925.09
149,8246,2024-01-31,16132.03
150,7688,2023-02-19,16317.33
151,7710,2023-11-19,3191.67
152,6475,2024-12-21,5724.9
153,9598,2023-08-23,16581.41
154,2279,2023-08-12,7293.0
155,8344,2023-03-10,12783.84
156,4700,2024-12-17,37586.8
157,6376,2023-03-27,0.0
158,6088,2024-08-27,4407.99
159,2028,2023-06-25,15119.38
160,5,2023-07-03,14932.21
161,1280,2024-06-01,12746.78
162,3985,2023-10-04,13087.53
163,1134,2023-10-28,1667.28
164,4390,2023-01-22,5540.64
165,1622,2024-06-08,12395.98
166,1253,2023-01-31,15908.72
167,2282,2022-12-24,3373.66
168,7253,2024-04-04,3652.0
169,8336,2023-07-12,27029.09
170,4562,2024-03-01,4768.86
171,9377,2024-09-09,5627.04
172,7381,2023-05-07,7076.28
173,3995,2024-02-04,4055.61
174,9561,2024-06-18,1402.35
175,8131,2024-06-24,6443.69
176,9563,2023-03-30,4085.72
177,3041,2024-02-01,17018.59
178,466,2023-11-19,2667.39
179,8567,2024-06-11,11514.92
180,1588,2023-02-04,3835.71
181,5373,2024-10-28,10349.99
182,5283,2024-09-25,7541.08
183,1132,2023-03-30,9475.43
184,9806,2024-03-17,3277.46
185,2348,2024-11-06,20160.65
186,6071,2022-12-25,11390.6
187,7000,2024-05-14,2408.31
188,1144,2024-09-03,4223.95
189,4471,2023-09-03,2931.4
190,9105,2024-02-08,14431.26
191,5217,2024-03-15,4093.16
192,6047,2024-11-10,0.0
193,1315,2024-12-16,6906.01
194,8772,2024-10-12,5470.02
195,1856,2024-10-17,13111.7
196,1919,2023-11-26,7797.76
197,6956,2024-07-08,11129.24
198,9735,2024-08-04,8762.49
199,3501,2024-08-29,14397.75
200,4976,2024-11-22,12279.98
201,4764,2024-10-06,3395.79
202,479,2024-07-06,25345.06
203,6661,2024-06-24,0.0
204,4770,2023-10-23,9257.32
205,5748,2024-02-28,2364.6
206,2782,2023-03-20,2845.11
207,9316,2023-05-22,11351.7
208,207,2023-09-04,10077.32
209,4522,2023-08-01,21164.02
210,1437,2024-09-27,810.6
