ProductID,ProductName,Category,Price
1,Situation Value,Clothing,1666.44
2,Eight Six,Clothing,1010.63
3,Ago Better,Clothing,1891.37
4,Strong Nothing,Clothing,161.04
5,Magazine Doctor,Electronics,76.89
6,Manage Parent,Beauty,1699.79
7,My Machine,Books,705.65
8,Public Again,Books,1664.88
9,Customer Director,Books,1676.59
10,And Attorney,Home,1811.02
11,Drug Idea,Electronics,967.45
12,High Across,Clothing,683.65
13,House Sense,Books,441.91
14,Issue Science,Clothing,1039.79
15,Building Ball,Home,485.69
16,Door Develop,Clothing,1486.76
17,Action Choice,Home,544.94
18,Me Space,Clothing,1583.19
19,Firm Citizen,Electronics,133.47
20,Possible Alone,Beauty,1760.32
21,Spend Follow,Books,391.03
22,Alone Let,Books,604.59
23,Radio Point,Home,1384.78
24,Speech Recent,Clothing,572.93
25,North Page,Clothing,1086.62
26,Word Cell,Beauty,804.47
27,Artist Issue,Electronics,1599.46
28,You Here,Home,166.27
29,North Them,Books,683.07
30,Hear Book,Electronics,646.84
31,Present Wonder,Clothing,359.36
32,Personal Yard,Books,400.71
33,Side Wrong,Home,1705.24
34,Carry Food,Home,715.16
35,Result Else,Home,1349.75
36,Hot Fly,Home,470.44
37,Practice Sport,Beauty,884.94
38,Then Law,Books,1122.56
39,Instead Class,Books,907.49
40,Task Five,Clothing,1304.51
41,Store Together,Beauty,949.32
42,Approach Management,Home,481.23
43,Process Describe,Beauty,1641.07
44,Trial First,Books,1176.38
45,Young Owner,Clothing,794.3
46,Model Gas,Electronics,1739.07
47,Kitchen Author,Home,650.64
48,Manager Chair,Electronics,344.83
49,Modern Four,Beauty,1613.52
50,Enjoy Next,Electronics,77.22
51,Reach Treat,Home,434.99
52,Wrong New,Clothing,793.67
53,Its Outside,Clothing,1383.96
54,Last Seven,Electronics,1695.65
55,Agreement Moment,Clothing,903.72
56,Exactly Toward,Books,1715.33
57,Voice Want,Electronics,1895.7
58,Join Image,Beauty,1446.34
59,Mission Small,Beauty,1643.47
60,And Respond,Books,60.75
61,Official Arrive,Home,1078.37
62,Million Use,Electronics,1252.36
63,Party Year,Beauty,833.89
64,Wall Ok,Beauty,1369.86
65,Character Top,Books,1860.74
66,Husband Show,Beauty,1633.38
67,Everything Individual,Books,1561.0
68,Vote Soon,Home,5.89
69,Student None,Beauty,1857.23
70,White Development,Electronics,534.47
71,Billion Success,Clothing,1356.88
72,Sure Five,Clothing,672.21
73,Notice Door,Home,320.06
74,Quickly Quickly,Electronics,1429.23
75,Personal Be,Electronics,1714.48
76,Design Account,Electronics,728.27
77,Agreement Manager,Electronics,532.3
78,Agent Land,Home,1411.61
79,Big Accept,Books,43.64
80,Next Later,Home,619.92
81,Instead Thing,Electronics,1186.8
82,Education And,Home,680.15
83,Sea Size,Clothing,252.14
84,Few Agent,Electronics,568.6
85,Detail Too,Electronics,1643.96
86,Expect Little,Beauty,1696.78
87,Other Suffer,Home,1621.07
88,Themselves Discussion,Electronics,665.78
89,Difference Record,Electronics,1173.79
90,Without Almost,Electronics,40.23
91,This Data,Books,1192.68
92,Reflect If,Clothing,1854.43
93,Century Page,Clothing,470.22
94,Somebody Big,Electronics,1227.36
95,Your Suddenly,Books,1061.68
96,Front Garden,Clothing,1136.99
97,Service Color,Beauty,1910.67
98,Service Recognize,Home,1162.99
99,Action Prepare,Home,540.82
100,Tree Themselves,Electronics,1181.36
101,Ready Effect,Beauty,854.69
102,Option Long,Home,477.7
103,Great Federal,Books,447.45
104,Time Be,Clothing,228.28
105,Claim Black,Beauty,689.59
106,Child Event,Beauty,1901.85
107,Physical Officer,Home,1203.83
108,Half Friend,Electronics,1314.22
109,Night Maintain,Books,669.8
110,During Fund,Books,214.53
111,Decade Could,Books,209.73
112,Above Age,Home,769.07
113,Issue Also,Clothing,1506.72
114,Deal Bring,Clothing,1242.78
115,Society Each,Books,302.25
116,Measure Reflect,Electronics,851.14
117,Subject Believe,Home,975.63
118,Politics Any,Books,63.03
119,Performance Interesting,Clothing,527.98
120,Wait Staff,Clothing,1515.08
121,Population His,Home,688.41
122,Star Wear,Home,1862.42
123,Mother Any,Electronics,1835.56
124,Without Sister,Beauty,1241.24
125,South His,Home,1365.01
126,Should Ask,Clothing,1052.64
127,Fund Admit,Home,1241.37
128,Bed Child,Clothing,1873.89
129,Church Baby,Beauty,580.33
130,Room Look,Home,771.21
131,Popular Consumer,Beauty,1233.82
132,Pressure So,Home,1784.17
133,Position Interview,Clothing,1687.41
134,Possible Right,Home,438.29
135,Which First,Books,1789.29
136,Lawyer Listen,Beauty,526.84
137,Star Certain,Electronics,1938.85
138,Family Center,Home,1840.28
139,Such Court,Books,203.68
140,Gun Oil,Beauty,1489.2
141,Car System,Home,329.44
142,Take Law,Beauty,1464.47
143,Lawyer Decide,Clothing,213.6
144,Industry Phone,Clothing,1403.46
145,Explain Again,Beauty,1058.3
146,Government Pull,Clothing,839.72
147,Majority Fill,Electronics,446.06
148,Fear End,Electronics,1278.57
149,Seem Then,Clothing,1827.74
150,Shoulder Week,Home,1472.04
151,Hard Mean,Books,1906.05
152,Blood Carry,Electronics,847.5
153,Produce Age,Beauty,1860.27
154,Beat Your,Clothing,1415.26
155,Where Describe,Clothing,1191.88
156,Arm Southern,Clothing,854.55
157,Explain Information,Books,156.12
158,Story Serious,Home,549.38
159,Research Study,Electronics,1332.32
160,Adult Either,Beauty,275.28
161,Stuff Stage,Electronics,1989.38
162,Near Ago,Electronics,1710.0
163,Sense Number,Beauty,1388.74
164,Teach Million,Clothing,1318.15
165,Lead Act,Home,1484.24
166,Shake Here,Home,19.61
167,All Attention,Clothing,1542.01
168,Final Hope,Books,1795.8
169,Least Yard,Clothing,1148.16
170,Allow Pressure,Clothing,623.75
171,Others Miss,Home,575.46
172,Same Culture,Beauty,970.66
173,Read Rest,Beauty,677.39
174,Alone Make,Home,796.77
175,Garden Success,Home,250.8
176,Pay State,Books,279.8
177,Service Condition,Beauty,496.73
178,Energy Environment,Clothing,1598.37
179,Provide Main,Home,1575.39
180,Its Person,Electronics,836.45
181,Process Sense,Electronics,1734.03
182,State Skin,Beauty,333.74
183,Local Forget,Electronics,1652.36
184,Family Against,Home,544.56
185,Very Direction,Clothing,982.89
186,Recent Sometimes,Electronics,234.28
187,These Property,Electronics,511.29
188,Day Different,Electronics,452.31
189,Impact Finish,Beauty,449.97
190,Step Seek,Beauty,1521.7
191,Fly Even,Books,748.68
192,Car Tend,Clothing,1127.3
193,These Across,Beauty,1049.69
194,Report Change,Electronics,771.06
195,Card Nor,Home,35.7
196,Participant Forget,Electronics,527.91
197,Candidate Glass,Books,1095.78
198,Kitchen Into,Electronics,1920.7
199,Old Single,Clothing,1120.56
200,Nature Artist,Beauty,1793.15
201,Feel Dog,Electronics,323.73
202,Mission Traditional,Beauty,1091.91
203,Treatment Also,Home,53.99
204,Note By,Clothing,1107.99
205,Than Relationship,Books,449.61
206,Animal Lay,Electronics,1496.51
207,Into Price,Home,472.29
208,Education Republican,Electronics,825.94
209,Popular Tough,Home,1977.48
210,Itself Skill,Clothing,721.98
211,Plant As,Books,1484.39
212,Put Model,Beauty,403.03
213,Usually Onto,Books,1781.95
214,Indicate Family,Clothing,1267.51
215,Exactly Water,Electronics,430.02
216,Pattern Thank,Books,1232.74
217,Affect Old,Clothing,15.74
218,Like Interview,Beauty,773.64
219,War Player,Electronics,910.64
220,Worker Human,Books,966.82
221,Trade Quality,Clothing,1435.68
222,Along Tough,Electronics,1219.36
223,Become Color,Beauty,388.41
224,Shoulder Sort,Clothing,903.88
225,Gun Free,Home,396.64
226,His Share,Home,1773.58
227,Particularly Prove,Beauty,1970.77
228,Above Kind,Electronics,9.5
229,Marriage Alone,Books,1578.43
230,Media Will,Books,1049.81
231,Cold Research,Home,1072.31
232,Color The,Books,1054.14
233,Security Bit,Home,1739.52
234,Offer Entire,Books,1185.21
235,Detail Well,Electronics,73.44
236,Upon Music,Beauty,732.89
237,Have Leader,Clothing,450.21
238,Benefit Bed,Beauty,201.35
239,Open Pass,Electronics,844.79
240,Must On,Beauty,1047.0
241,Rest Behind,Beauty,1949.44
242,Section Every,Beauty,1716.21
243,Director Phone,Clothing,1927.98
244,Condition See,Beauty,1059.8
245,Defense Green,Home,1560.18
246,Why Crime,Beauty,583.32
247,Parent North,Electronics,256.85
248,Positive Number,Clothing,69.91
249,Our Special,Home,1558.17
250,Force Before,Beauty,116.53
251,Case Forward,Clothing,1815.9
252,Forward Trial,Clothing,266.01
253,Go Under,Clothing,630.89
254,Last Water,Books,1649.1
255,Type Culture,Electronics,1216.55
256,Require Involve,Electronics,1574.49
257,Note Science,Home,1640.27
258,Spring Instead,Home,1074.62
259,Street Learn,Home,1351.94
260,Loss Do,Clothing,1149.28
261,People Better,Books,1982.96
262,Young Policy,Beauty,1774.07
263,Whatever Suffer,Books,1562.01
264,Necessary Community,Home,671.1
265,Clear Herself,Electronics,1236.08
266,Movement Start,Beauty,602.86
267,As Here,Home,1190.53
268,Develop Attention,Electronics,353.04
269,Group Mission,Clothing,1475.47
270,Current Moment,Clothing,934.63
271,Ok Success,Electronics,162.12
272,Less Open,Books,818.54
273,Government Avoid,Home,1206.51
274,Middle Have,Books,1934.56
275,Industry War,Beauty,641.94
276,Like Last,Clothing,243.43
277,Pattern Feel,Clothing,1863.61
278,Concern Science,Home,700.37
279,Evidence Others,Clothing,643.45
280,With Building,Electronics,1700.61
281,Maybe Leader,Home,212.8
282,Painting Old,Clothing,1696.39
283,Life Walk,Books,484.54
284,Maybe Past,Books,800.16
285,Spend Long,Books,1234.6
286,Leader Fall,Electronics,1273.54
287,Bag Especially,Electronics,1041.17
288,Individual Describe,Home,1687.08
289,Sort Left,Electronics,850.13
290,Kind Probably,Clothing,1963.38
291,Along Issue,Home,496.5
292,Media Fight,Home,1232.56
293,Type Discussion,Books,865.44
294,Guess Choice,Electronics,884.58
295,Night Measure,Beauty,1065.06
296,Prevent Plan,Electronics,1055.38
297,Ahead Pass,Clothing,1340.24
298,Church Than,Home,1067.49
299,Animal Only,Beauty,1533.87
300,Cover Table,Beauty,832.91
301,Soldier Ahead,Beauty,19.26
302,Health Grow,Clothing,1484.41
303,Resource Determine,Beauty,61.26
304,Down Budget,Beauty,1466.88
305,Hope Stock,Electronics,7.45
306,Together Particular,Electronics,948.37
307,Class Grow,Home,102.06
308,Understand Small,Electronics,1886.25
309,Beat Administration,Beauty,435.33
310,Increase Arm,Home,429.07
311,Campaign Attack,Electronics,1238.72
312,Billion Civil,Clothing,414.42
313,Care Start,Electronics,1414.9
314,Design Everything,Books,226.33
315,Eat Concern,Clothing,1484.15
316,Break Wrong,Beauty,868.55
317,Artist Need,Electronics,824.05
318,Travel Adult,Home,1264.28
319,Health Executive,Beauty,473.13
320,Three Although,Beauty,1984.45
321,Radio Dog,Electronics,1122.14
322,Speech Respond,Electronics,1589.62
323,Music Foot,Electronics,1681.51
324,Interview Thousand,Electronics,933.32
325,Discussion Central,Books,664.08
326,Participant Approach,Books,1890.16
327,Grow Law,Beauty,311.02
328,Baby Yes,Home,754.65
329,Approach Friend,Books,868.82
330,Two Agreement,Beauty,1726.75
331,Crime Edge,Electronics,986.79
332,Base Measure,Books,22.12
333,Activity Live,Books,1369.85
334,Collection Increase,Electronics,1904.19
335,Against Music,Clothing,1149.64
336,Member President,Clothing,11.69
337,Draw Father,Electronics,1795.12
338,Because We,Clothing,820.15
339,Research Force,Electronics,489.28
340,Capital My,Electronics,569.15
341,Result Determine,Books,1793.8
342,Great Nation,Clothing,1886.14
343,Fine Gun,Electronics,1647.93
344,Wrong Least,Electronics,560.92
345,Despite Religious,Clothing,857.91
346,Successful Window,Books,1375.81
347,Ready Cultural,Beauty,259.41
348,Dream Environment,Electronics,764.44
349,Nation Growth,Beauty,1387.99
350,Management Every,Clothing,74.4
351,Personal Begin,Clothing,836.81
352,Fine This,Electronics,766.74
353,Thus Kitchen,Clothing,311.35
354,Win Product,Books,819.61
355,Exactly Serve,Beauty,161.08
356,Interview Above,Beauty,1668.82
357,Grow Song,Beauty,1703.91
358,Sign Only,Home,1033.04
359,Factor Work,Electronics,592.4
360,Three Early,Beauty,1176.5
361,Sort Laugh,Beauty,653.84
362,Might Senior,Home,1429.06
363,Clearly Store,Electronics,1973.42
364,Toward Enough,Electronics,1378.06
365,Above Down,Home,508.99
366,Apply Democratic,Electronics,1955.11
367,Off Nothing,Electronics,564.37
368,Standard Much,Books,96.54
369,Gas Finish,Books,391.77
370,Land Nature,Clothing,1641.91
371,Hospital Religious,Electronics,740.65
372,Building Man,Beauty,451.32
373,Between Administration,Clothing,1667.95
374,Feeling Itself,Electronics,201.3
375,Success Fast,Beauty,283.99
376,Reduce Issue,Beauty,1118.57
377,Unit Help,Beauty,467.25
378,Total Visit,Home,1169.79
379,Democratic Computer,Clothing,387.49
380,Thank Program,Clothing,684.5
381,Read Seven,Books,1336.18
382,College Chance,Beauty,1826.0
383,Social Art,Home,874.51
384,Include Age,Beauty,97.03
385,Couple On,Home,1469.31
386,Skill Society,Home,465.82
387,Window Year,Clothing,408.87
388,Thing Window,Beauty,107.62
389,So Expert,Electronics,1480.6
390,Thousand Believe,Books,788.2
391,Half Consumer,Books,26.53
392,Wall Activity,Clothing,1528.17
393,Any Affect,Beauty,97.66
394,Positive List,Home,103.87
395,New Thousand,Beauty,1525.09
396,Table Much,Beauty,176.22
397,Place Better,Electronics,1158.91
398,Personal Probably,Clothing,1360.15
399,Teach Music,Beauty,1166.28
400,Trade Eight,Electronics,1545.8
401,Above Onto,Books,1486.48
402,Race Check,Electronics,963.94
403,Place Cup,Clothing,1670.98
404,Hold He,Books,461.08
405,Quickly Upon,Books,1421.58
406,Area Inside,Books,129.52
407,Answer House,Books,754.64
408,Campaign Career,Electronics,1849.53
409,Must Oil,Clothing,884.45
410,Rather Simply,Home,1865.53
411,Note Subject,Home,305.09
412,Cover South,Home,140.56
413,Skill City,Books,1689.62
414,Government Strong,Electronics,432.72
415,Pressure Charge,Books,841.26
416,Happen Send,Beauty,1709.25
417,Total These,Books,1860.5
418,Especially Attack,Books,1569.53
419,Management Growth,Beauty,1151.49
420,Occur Major,Beauty,904.41
421,Perhaps Law,Books,569.05
422,Live Wrong,Beauty,1975.19
423,Others Administration,Beauty,1330.99
424,Reality In,Home,1132.98
425,Another Finally,Beauty,65.72
426,Wife Hour,Clothing,573.95
427,Company Son,Beauty,1623.41
428,Hospital Save,Clothing,1639.02
429,Place Follow,Home,1475.89
430,Management Once,Books,1446.79
431,Store Until,Home,1114.76
432,Hundred Behavior,Home,646.54
433,Society Sport,Home,1813.68
434,Including It,Electronics,1951.56
435,Animal Three,Beauty,1876.78
436,Reach Evidence,Books,1844.46
437,Fear Source,Books,1018.98
438,Try Oil,Books,1813.12
439,Everybody Member,Home,1587.71
440,Pick Each,Clothing,74.4
441,Fly Cultural,Home,426.86
442,Maintain Expect,Books,1678.92
443,Somebody Message,Books,566.41
444,Within Image,Electronics,376.07
445,Memory Group,Clothing,1423.21
446,Property Member,Beauty,1130.17
447,Resource Reduce,Beauty,1326.7
448,Former Deep,Clothing,993.75
449,Question Accept,Electronics,1755.85
450,Short Like,Books,302.25
